time,nino3,nino4,nino34,oni
1955-12-01,-1.4652486,-1.0886335,-1.6237128,-1.4781374
1956-01-01,-0.9748128,-0.78438336,-0.9669266,-1.1892772
1956-02-01,-0.7874707,-0.87117326,-0.9771922,-0.91178435
1956-03-01,-0.6213335,-1.0211463,-0.7912344,-0.8129277
1956-04-01,-0.42962295,-0.80790913,-0.67035645,-0.84199077
1956-05-01,-0.8213421,-1.183577,-1.0643816,-0.902685
1956-06-01,-0.69764173,-1.1179116,-0.9733168,-0.9575486
1956-07-01,-0.57503873,-0.96121514,-0.8349477,-0.8505228
1956-08-01,-0.5091435,-0.65077424,-0.743304,-0.7877829
1956-09-01,-0.69750875,-0.59560615,-0.785097,-0.8224387
1956-10-01,-0.8163949,-0.99485654,-0.93891513,-0.8547165
1956-11-01,-0.8743778,-0.46888494,-0.8401371,-0.8111828
1956-12-01,-0.6109067,-0.4057616,-0.65449625,-0.61907977
1957-01-01,-0.3532392,-0.00268743,-0.36260587,-0.35544047
1957-02-01,-0.12518147,0.37025326,-0.049219243,0.036874812
1957-03-01,0.6731014,0.09829835,0.52244955,0.28841498
1957-04-01,0.5712768,0.14314602,0.3920147,0.6847267
1957-05-01,1.2613223,0.37506717,1.1397158,0.77835536
1957-06-01,1.0292579,0.051451296,0.8033355,0.9042978
1957-07-01,1.0043838,0.14287557,0.76984215,0.78415984
1957-08-01,0.91087884,0.18349858,0.7793019,0.82046586
1957-09-01,1.0697645,0.2570991,0.9122537,0.857187
1957-10-01,0.7487406,0.72786725,0.88000536,0.894615
1957-11-01,0.95534396,0.37551585,0.8915862,0.880812
1957-12-01,0.8638429,0.4471278,0.87084436,1.0708189
1958-01-01,1.3060378,0.62783074,1.4500263,1.1545209
1958-02-01,1.0200957,0.6098813,1.1426919,1.2006687
1958-03-01,0.8348721,0.5271004,1.0092878,0.93681073
1958-04-01,0.5915163,0.21883938,0.6584526,0.7936468
1958-05-01,0.45189646,0.47412518,0.71320003,0.6309146
1958-06-01,0.33653322,0.6122277,0.5210912,0.5154025
1958-07-01,0.3102927,0.16787285,0.31191605,0.33099124
1958-08-01,0.029461905,0.16389933,0.1599664,0.032568615
1958-09-01,-0.18470441,-0.20649596,-0.37417662,-0.047823083
1958-10-01,0.01325816,0.2294982,0.07074098,-0.076434486
1958-11-01,0.067056574,0.16975735,0.074132174,0.071519315
1958-12-01,-0.08268875,0.08747873,0.06968479,0.24594827
1959-01-01,0.37375668,0.4478834,0.5940279,0.41484427
1959-02-01,0.36117312,0.44754124,0.5808201,0.62353975
