time,p1,p2,p3
1980-08-14,-8.870117,149.66406,0.89697266
1980-08-15,-0.34228516,67.211426,-0.4375
1980-08-16,-5.4658203,127.41699,0.52978516
1980-08-17,-1.5288086,205.58838,-0.78125
1980-08-18,-5.189453,130.84863,0.84033203
1980-08-19,4.0600586,57.581055,-4.859375
1980-08-20,-47.486816,166.15918,-4.5913086
1980-08-21,-88.57568,160.04883,-7.3476562
1980-08-22,-80.55664,-72.19629,-4.828125
1980-08-23,-91.45557,-210.51318,-3.2260742
1980-08-24,-98.11328,-21.556152,2.2451172
1980-08-25,-56.40039,56.29883,-4.1259766
1980-08-26,-8.089355,-152.29492,-5.915039
1980-08-27,6.9521484,-39.47998,-0.032226562
1980-08-28,12.227539,48.061035,8.105469
1980-08-29,11.199219,6.8413086,15.626465
1980-08-30,43.66992,52.47168,11.633301
1980-08-31,51.149902,-173.01416,1.1298828
1980-09-01,21.766602,1.2539062,-0.13623047
1980-09-02,3.7998047,-171.54248,1.5922852
1980-09-03,33.59912,-92.273926,-0.12988281
1980-09-04,45.37451,-67.211426,-1.9897461
1980-09-05,20.175293,-67.711426,0.47851562
1980-09-06,-34.813477,8.715332,3.0234375
1980-09-07,-15.467285,194.62256,-1.269043
1980-09-08,7.0200195,223.49854,-2.9179688
1980-09-09,65.4668,134.65674,2.800293
1980-09-10,36.000977,-68.782715,0.98535156
1980-09-11,-132.17285,-133.89893,-9.26709
1980-09-12,-316.229,-64.654785,-11.386719
1980-09-13,-345.62842,-64.5625,-0.54833984
1980-09-14,-274.33398,79.9292,5.504883
1980-09-15,-139.36084,20.044922,-6.4018555
1980-09-16,-64.02588,-0.56640625,-6.570801
1980-09-17,-115.870605,-69.07959,3.6049805
1980-09-18,-162.16846,11.850586,5.14209
1980-09-19,-51.513184,112.65332,1.0175781
1980-09-20,-16.473633,-91.93457,-6.1186523
1980-09-21,-11.165039,-42.28076,-8.45166
1980-09-22,-34.931152,136.73926,-1.5200195
1980-09-23,26.30957,211.02148,0.859375
1980-09-24,56.737793,222.2168,-0.5854492
1980-09-25,41.79297,136.72949,-3.7666016
1980-09-26,27.86621,64.27246,3.5039062
1980-09-27,-20.583496,-40.585938,1.9350586
1980-09-28,-8.572266,-47.336914,-3.1064453
1980-09-29,-23.185059,16.148926,-7.541504
1980-09-30,-34.34668,54.73828,-7.904785
1980-10-01,13.435547,-145.01514,-7.5234375
1980-10-02,21.811523,-273.95654,0.43896484
1980-10-03,-13.774414,6.273926,5.449707
1980-10-04,50.927246,-84.12158,1.96875
1980-10-05,-36.753418,-69.64209,2.0532227
1980-10-06,-21.140137,-48.280273,-0.22314453
1980-10-07,27.148926,82.09619,-0.51123047
1980-10-08,78.10693,84.86914,-4.2558594
1980-10-09,130.41699,125.00537,-4.743164
1980-10-10,155.74658,141.78223,0.25585938
1980-10-11,114.41211,42.353027,4.6342773
1980-10-12,73.04883,90.91797,2.7763672
1980-10-13,-11.276367,15.11377,0.4584961
1980-10-14,-83.86328,-181.63037,-0.5029297
1980-10-15,14.835449,-124.93945,-1.78125
1980-10-16,30.875977,-109.25928,-3.446289
1980-10-17,61.84619,-46.84424,-8.45166
1980-10-18,38.146973,-53.294434,-12.437012
1980-10-19,33.04492,-8.091797,-9.879883
1980-10-20,-22.036133,8.197266,-9.686523
1980-10-21,4.541504,-94.813965,-1.8623047
1980-10-22,56.09424,-31.411133,-1.2802734
1980-10-23,45.08838,8.312012,-9.726074
1980-10-24,-28.160156,-23.631348,-10.425781
1980-10-25,-201.55469,31.826172,-5.8007812
1980-10-26,-171.41113,52.81299,-3.474121
1980-10-27,-24.93164,59.67871,-5.6186523
1980-10-28,26.442383,20.589355,0.3515625
1980-10-29,40.007812,97.29199,6.0126953
1980-10-30,46.27832,118.0874,6.868164
1980-10-31,-36.964355,104.01172,5.180664
1980-11-01,-88.416016,180.65527,5.876465
1980-11-02,-88.47412,227.6997,6.810547
1980-11-03,-122.2417,163.87842,12.840332
1980-11-04,-142.45703,14.769043,15.744141
1980-11-05,-298.8462,-115.35449,9.611816
1980-11-06,-100.62158,-162.30957,2.3549805
1980-11-07,33.277344,-176.24805,2.2456055
1980-11-08,92.206055,-79.16504,-3.024414
1980-11-09,134.82275,-94.0625,-3.1210938
1980-11-10,93.65723,-64.23389,-7.195801
1980-11-11,-14.509766,-308.72852,-14.242676
1980-11-12,-35.753418,-376.1333,-11.916992
1980-11-13,-70.904785,-261.66455,-6.23584
1980-11-14,66.21289,-126.6875,4.746582
1980-11-15,115.92529,-56.87744,3.4282227
1980-11-16,16.898926,-201.40967,-3.9082031
1980-11-17,-37.85254,-330.2666,-3.7924805
1980-11-18,-78.81152,-242.3999,-2.8408203
1980-11-19,-117.6875,-168.58594,-0.8305664
1980-11-20,-218.58105,-86.649414,-9.093262
1980-11-21,-189.7793,-90.71924,-17.334473
1980-11-22,-161.81738,3.2675781,-15.9921875
1980-11-23,-153.95801,40.18164,-12.814453
1980-11-24,-92.8584,83.26758,-8.933594
1980-11-25,-90.97949,-0.0703125,-8.380371
1980-11-26,11.098145,4.6347656,-8.839355
1980-11-27,-5.9311523,80.27246,-11.370605
1980-11-28,-168.48291,171.46387,-5.9379883
1980-11-29,-226.75244,200.98877,1.9941406
1980-11-30,-8.256348,120.09717,9.662109
1980-12-01,-26.347168,73.46875,1.2402344
1980-12-02,-122.899414,64.447266,-7.833008
1980-12-03,-87.51367,65.359375,-9.04834
1980-12-04,-189.33252,60.234863,-6.820801
1980-12-05,-237.98047,53.461914,-17.568848
1980-12-06,-183.19434,-116.69629,-16.737305
1980-12-07,-183.11523,-149.26611,-8.134277
1980-12-08,-134.66357,5.76709,-4.010254
1980-12-09,-106.96045,68.12109,-1.7504883
1980-12-10,-126.74072,86.17529,-7.8129883
1980-12-11,-138.45215,0.10498047,-11.845215
1980-12-12,-235.47607,56.6084,-5.1875
1980-12-13,-290.52393,77.507324,-5.070801
1980-12-14,-91.68115,123.149414,-5.811035
1980-12-15,20.254395,10.98291,-9.081055
1980-12-16,-65.14502,-149.71582,-10.276855
1980-12-17,-133.55908,-177.98145,-5.4995117
1980-12-18,-166.60596,-194.07373,-2.8935547
1980-12-19,-173.93945,-210.05225,-9.924316
1980-12-20,-87.57324,-336.5249,-14.580078
1980-12-21,-153.19824,-199.31836,-19.077148
1980-12-22,-211.37207,-205.69043,-13.130371
1980-12-23,-230.9375,-243.71729,-5.8100586
1980-12-24,-228.62988,-129.13135,2.6235352
1980-12-25,-16.89502,12.90918,3.2197266
1980-12-26,-68.07666,-32.425293,1.0166016
1980-12-27,-93.63086,-30.72754,11.110352
1980-12-28,-30.148926,-48.319336,10.229492
1980-12-29,-101.38428,-46.553223,-0.1430664
1980-12-30,-122.62158,-62.365723,-7.538574
1980-12-31,-192.9043,-84.10498,-15.009766
1981-01-01,-236.59229,-145.60693,-13.000977
1981-01-02,-209.40332,-134.4209,-7.2592773
1981-01-03,-126.34131,-189.82568,-10.239746
1981-01-04,-58.86133,-2.0341797,-10.068359
1981-01-05,-225.82227,100.90088,-10.544434
1981-01-06,-155.33496,95.029785,-15.050781
1981-01-07,-79.2041,-6.6796875,-10.213379
1981-01-08,-130.21777,13.356934,-6.786133
1981-01-09,-149.30566,87.62891,-10.672363
1981-01-10,-144.9253,61.663574,-4.142578
1981-01-11,-60.413086,-79.779785,-1.2177734
1981-01-12,-116.901855,-102.05176,-6.8862305
1981-01-13,-161.61963,-270.11768,-7.2836914
1981-01-14,-102.97705,-227.72266,-4.3242188
1981-01-15,-160.10205,-109.00391,1.7260742
1981-01-16,-208.86035,-212.67334,4.7700195
1981-01-17,-93.493164,-149.79248,9.322754
1981-01-18,-160.56543,4.6132812,8.202148
1981-01-19,-104.86279,-32.95215,-0.7553711
1981-01-20,54.340332,-81.94531,-8.917969
1981-01-21,-22.326172,-6.9697266,-6.804199
1981-01-22,-158.84912,-95.24219,-4.6679688
1981-01-23,-185.93213,-206.52393,-8.941406
1981-01-24,-121.51807,59.117188,-10.32959
1981-01-25,-45.01367,222.51514,-11.583496
1981-01-26,119.37402,162.4751,-4.375
1981-01-27,83.77539,95.131836,-7.17334
1981-01-28,-89.305664,127.58203,-7.8129883
1981-01-29,-177.80957,27.564453,-5.189453
1981-01-30,-188.23877,9.136719,-3.0981445
1981-01-31,-113.72803,47.570312,-16.331543
1981-02-01,-133.87549,47.112793,-21.392578
1981-02-02,-144.76465,84.42871,-10.932129
1981-02-03,-152.78662,88.11084,-3.8095703
1981-02-04,-177.33691,-30.84961,-7.027832
1981-02-05,-14.755859,75.026855,-8.968262
1981-02-06,-133.42236,131.47314,-10.905762
1981-02-07,-35.128418,168.12842,-8.803223
1981-02-08,82.28467,54.371094,-9.713867
1981-02-09,7.7192383,-158.51562,-8.740723
1981-02-10,-27.452148,-92.68945,-6.791992
1981-02-11,-146.27295,-124.02539,-4.9365234
1981-02-12,-73.083984,-8.21582,-8.013672
1981-02-13,-224.79199,57.10742,-8.755371
1981-02-14,-250.22461,67.99414,-8.769531
1981-02-15,-180.19385,115.39795,-17.781738
1981-02-16,-213.98047,153.27246,-24.848145
1981-02-17,-173.17822,151.45557,-25.550293
1981-02-18,-18.229492,118.32764,-21.04004
1981-02-19,-197.91113,24.245605,-14.421387
1981-02-20,35.98584,10.40332,-22.742676
1981-02-21,136.09814,87.40088,-18.644043
1981-02-22,121.28369,63.779785,-23.913574
1981-02-23,-56.97754,29.545898,-32.316895
1981-02-24,-111.78223,2.3945312,-32.198242
1981-02-25,121.38281,7.229492,-27.395996
1981-02-26,157.47998,-14.32666,-19.559082
1981-02-27,121.23193,-16.0,-14.3203125
1981-02-28,-22.981445,35.052734,-7.3276367
1981-03-01,-73.82764,-62.490234,4.8530273
1981-03-02,-49.324707,-266.74023,4.9716797
1981-03-03,-44.555176,-10.134766,-2.5024414
1981-03-04,-83.69873,132.06445,-4.5600586
1981-03-05,32.32373,191.5625,-0.53125
1981-03-06,-19.408691,165.44092,1.7514648
1981-03-07,-65.018555,83.47266,-2.319336
1981-03-08,-66.67529,58.555664,2.5825195
1981-03-09,-151.77197,86.526855,9.568848
1981-03-10,-2.4384766,35.58203,17.131348
1981-03-11,12.206055,27.893555,20.182617
1981-03-12,-130.38477,39.980957,19.331055
1981-03-13,-101.39551,64.41699,13.927734
