,Tokyo,Paris,Boulder,Bogota,Sydney
1996-01-01,277.98286735559464,277.58030981723044,262.48974581271057,286.1373293495385,295.055938175156
1996-02-01,277.25434508483823,275.81689405182976,266.1216697982176,286.5185121513524,293.97829520741107
1996-03-01,281.26567064411336,279.40072488009866,267.8405548624719,286.89257004098283,293.801953630871
1996-04-01,284.70165954457593,283.73267148762847,271.66663270497764,286.74829056926825,292.1685675128181
1996-05-01,290.3748708706377,285.50855584935016,277.4912484149375,286.4989186428479,291.5789810296386
1996-06-01,295.055938175156,291.57719980159277,283.3728634223649,286.0304556667869,289.64812982792716
1996-07-01,298.6647061960669,292.19528593350594,287.15084810763244,285.67242882956924,287.94171335999397
1996-08-01,298.5542700572236,291.6074806783724,285.4462128677451,286.29763987366584,288.6506421222459
1996-09-01,294.63200590024144,286.99231881155094,279.49869242262093,286.62538583410395,289.75678473872455
1996-10-01,289.9224389469895,284.71412814089695,274.20844512641884,286.97094407500066,290.3570585901791
1996-11-01,284.58409849354916,279.7177834722616,266.3336359356749,287.0136935481013,290.9145829685331
1996-12-01,280.27530785061555,275.14358985049495,262.8174917731487,286.4080760125091,293.0449317113808
1997-01-01,277.8243380595132,273.43182969842417,263.46407755379556,286.55057425617787,293.6843925798443
1997-02-01,278.60985962773714,279.99209259132397,264.0768200015712,286.0072997021908,295.60455641328065
1997-03-01,282.4252501019677,282.4929367677104,269.39200449041533,286.86407039224906,295.2768104528425
1997-04-01,287.4447507351992,282.99346184859684,270.2719311450698,286.9834126713217,293.9391081904022
1997-05-01,291.51663804803354,287.27197161475084,276.0074854527367,286.6271670621498,291.27617226184253
1997-06-01,295.2215923834209,289.6196301791934,283.1573348288159,286.7839151301854,289.5679745658635
1997-07-01,298.80007952755216,291.7553226061787,286.3172333821703,285.77752128427494,288.6506421222459
1997-08-01,299.53750793853794,295.21802992732916,285.3322142728101,286.07498636793343,288.6702356307504
1997-09-01,295.37655922341065,289.47178825138707,282.83671378056124,287.4750316119788,289.29010299070944
1997-10-01,290.2501849074276,284.5270991960817,274.49522284180216,287.6549356446106,291.1425801584031
1997-11-01,286.1497979458595,281.7661957249998,264.9122159550792,287.0956300382108,293.56326907272586
1997-12-01,280.21830855314806,279.01241716610133,261.8021917870089,287.4269384547406,295.54577588776726
1998-01-01,275.4392737061076,277.813650691238,263.6012321133268,287.624654767831,296.40432780587145
1998-02-01,278.9055434833498,278.11467823098826,265.09033875966514,288.60611142109946,296.9351337635375
1998-03-01,282.0814730891169,281.56313572777185,268.1576134546348,288.24986581192763,295.08800027998143
1998-04-01,288.8234212426943,282.4964992238021,270.9416728903129,288.3638644068626,293.6309557384685
1998-05-01,292.9184645201248,288.7325786123555,277.05128508761027,287.7475595029953,291.59501208205137
1998-06-01,294.2045111692352,290.72042911153443,281.12495362849046,286.5576991683613,289.4450698306992
1998-07-01,297.8987781363474,291.2743910337967,286.97450653109235,286.06786145575,288.73435984040134
1998-08-01,299.40925951923606,292.90243346771206,286.0945798764379,286.7910400423689,289.54125614517557
1998-09-01,296.81579148446497,289.1119801861235,284.2029156917353,287.10987986257766,291.47745103102466
1998-10-01,292.29147224798237,284.6286291946957,275.02959125556,287.1615354759076,291.03926893174327
1998-11-01,285.130935503628,277.6675899914776,267.71230644317,287.3806265255483,291.43470155792403
1998-12-01,279.9689366267278,278.0630226176583,261.9322214343566,287.09206758211906,294.5946001112784
1999-01-01,277.5144043795337,279.0337919026516,264.6414692921086,286.4811063623893,295.77911676177484
1999-02-01,277.82611928755904,277.6729336756151,265.58730138445986,286.36176408331676,295.8859904445264
1999-03-01,282.16519080727227,281.58629169236804,269.7999057129171,286.88722635684525,295.8058351824627
1999-04-01,287.0386307407433,283.84310762647175,270.9327667500836,286.4935749587103,292.41793943923835
1999-05-01,292.093755934892,288.87329562797834,275.5621784412719,286.3225770663079,291.99756962041556
1999-06-01,295.30531010157625,289.7015666693029,281.86594449556793,286.19789110309773,289.5537247414966
1999-07-01,298.5542700572236,293.9693890671818,286.55948039640714,285.7472404074953,289.2402286054254
1999-08-01,301.01058353246356,292.7064983826676,285.1772474328203,285.90042601943924,289.1297924665821
1999-09-01,298.6344253192873,291.18354840345785,280.39999381382574,286.67347899134217,289.86187719343025
